capital_marker,timezone,geo_lat,geo_lon,population,city_name
0.0,UTC+3,69.2491311,33.315341,11089,Гаджиево
0.0,UTC+5,51.4649189,58.4436875,38302,Гай
1.0,UTC+3,58.3828191,42.3654013,17346,Галич
1.0,UTC+3,59.565237,30.1282473,92566,Гатчина
1.0,UTC+2,54.6588378,21.0501388,13888,Гвардейск
1.0,UTC+3,58.7432429,27.8264809,4379,Гдов
0.0,UTC+3,44.5630007,38.0790852,54813,Геленджик
0.0,UTC+3,44.1485694,43.4739851,72126,Георгиевск
0.0,UTC+4,58.1359233,52.6635038,95835,Глазов
0.0,UTC+3,55.6190582,36.9856793,17447,Голицыно
0.0,UTC+3,56.1307769,43.0626185,2278,Горбатов
2.0,UTC+7,51.9581028,85.9603235,62861,Горно-Алтайск
1.0,UTC+5,58.3742532,58.3231716,12334,Горнозаводск
1.0,UTC+7,50.9979622,81.4643358,13040,Горняк
1.0,UTC+3,56.6449218,43.4723104,30699,Городец
1.0,UTC+3,53.2726916,45.7026142,8102,Городище
1.0,UTC+3,46.0875083,41.935537,9565,Городовиковск
1.0,UTC+3,56.2021036,42.6926111,14015,Гороховец
0.0,UTC+3,44.6344864,39.1354738,30093,Горячий Ключ
1.0,UTC+3,50.4862958,35.6663877,6234,Грайворон
0.0,UTC+5,58.5626082,57.8520572,11005,Гремячинск
2.0,UTC+3,43.3180145,45.698291,271596,Грозный
1.0,UTC+3,52.4874097,39.9331142,46798,Грязи
1.0,UTC+3,58.8757553,40.2485362,15528,Грязовец
0.0,UTC+5,58.8371721,57.554533,27544,Губаха
1.0,UTC+3,51.2837123,37.5347759,88562,Губкин
0.0,UTC+5,64.4457594,76.4713274,23340,Губкинский
1.0,UTC+3,43.3519142,46.1035645,45643,Гудермес
0.0,UTC+3,48.0448904,39.9484672,67268,Гуково
1.0,UTC+3,45.3605121,40.6918389,35225,Гулькевичи
1.0,UTC+2,54.770638,20.6039767,12433,Гурьевск
1.0,UTC+7,54.2859263,85.9475985,24816,Гурьевск
1.0,UTC+2,54.5915455,22.1942445,28260,Гусев
1.0,UTC+8,51.2865048,106.5230319,23280,Гусиноозерск
0.0,UTC+3,55.6198751,40.6579929,60773,Гусь-Хрустальный
1.0,UTC+5,54.2226707,55.0312373,24040,Давлеканово
0.0,UTC+3,42.1152296,48.1939354,30671,Дагестанские Огни
1.0,UTC+5,56.262114,62.9387011,13913,Далматово
0.0,UTC+10,44.5539457,135.5662716,37503,Дальнегорск
0.0,UTC+10,45.9308483,133.7316907,27601,Дальнереченск
1.0,UTC+3,58.1860098,40.1795067,15861,Данилов
1.0,UTC+3,53.2577411,39.1456184,21056,Данков
0.0,UTC+5,56.7048206,60.079138,15521,Дегтярск
0.0,UTC+3,55.8703276,37.1245043,29280,Дедовск
1.0,UTC+3,55.2682105,31.5062809,7333,Демидов
0.0,UTC+3,42.058966,48.2907452,119961,Дербент
0.0,UTC+3,54.146457,33.2833222,29677,Десногорск
0.0,UTC+3,45.7092306,34.3883372,38622,Джанкой
0.0,UTC+3,56.2376047,43.4599416,240762,Дзержинск
0.0,UTC+3,55.6240869,37.8440276,47125,Дзержинский
0.0,UTC+7,55.9576784,92.3800687,28271,Дивногорск
1.0,UTC+3,43.1567628,44.1549483,10856,Дигора
0.0,UTC+4,54.2167926,49.6262585,122549,Димитровград
0.0,UTC+3,52.1268464,35.0739038,7721,Дмитриев
0.0,UTC+3,56.3477457,37.526672,61454,Дмитров
1.0,UTC+3,52.5054851,35.1415009,5956,Дмитровск
1.0,UTC+3,57.826974,29.9629389,9061,Дно
0.0,UTC+5,58.469685,56.4130737,35720,Добрянка
0.0,UTC+3,55.9385999,37.5101021,90976,Долгопрудный
1.0,UTC+11,47.3255783,142.7945071,12200,Долинск
0.0,UTC+3,55.4363283,37.7664984,96123,Домодедово
0.0,UTC+3,48.3350706,39.945891,50085,Донецк
0.0,UTC+3,53.9678944,38.3371824,64561,Донской
1.0,UTC+3,54.9136959,33.3023162,10720,Дорогобуж
0.0,UTC+3,55.7443143,38.8498479,11815,Дрезна
0.0,UTC+3,56.741786,37.1757223,70569,Дубна
1.0,UTC+3,49.0554742,44.8270085,14345,Дубовка
1.0,UTC+7,69.4031364,86.1907218,22207,Дудинка
1.0,UTC+3,55.1950257,32.401252,4370,Духовщина
1.0,UTC+5,55.4848318,54.8524765,31272,Дюртюли
1.0,UTC+3,53.5958178,34.3551812,29438,Дятьково
0.0,UTC+3,45.190629,33.367634,105719,Евпатория
0.0,UTC+3,55.3830113,39.0358317,70133,Егорьевск
1.0,UTC+3,46.71157,38.2763895,87771,Ейск
2.0,UTC+5,56.8385216,60.6054911,1377738,Екатеринбург
1.0,UTC+3,55.7567107,52.0543794,70750,Елабуга
0.0,UTC+3,52.6152411,38.5289342,108404,Елец
1.0,UTC+12,53.1830375,158.3883548,39548,Елизово
1.0,UTC+3,54.5837795,33.1749867,10095,Ельня
1.0,UTC+5,54.7554548,61.3243477,30218,Еманжелинск
1.0,UTC+3,62.5965137,50.8732125,14574,Емва
0.0,UTC+7,58.4485261,92.1651083,18769,Енисейск
0.0,UTC+3,55.1971758,36.5952722,10409,Ермолино
1.0,UTC+4,51.3508505,48.2762226,21447,Ершов
0.0,UTC+3,44.0446186,42.8588653,100969,Ессентуки
1.0,UTC+3,53.1464766,38.0921657,42350,Ефремов
0.0,UTC+3,44.1320568,43.0306461,24496,Железноводск
0.0,UTC+7,56.2529035,93.532273,85559,Железногорск
1.0,UTC+3,52.3380202,35.3516867,95057,Железногорск
1.0,UTC+8,56.5847888,104.114275,26134,Железногорск-Илимский
1.0,UTC+3,51.8422192,41.4617687,15211,Жердевка
0.0,UTC+4,53.4011981,49.4945176,57565,Жигулевск
1.0,UTC+3,53.7521926,34.7386592,5585,Жиздра
1.0,UTC+3,50.9768814,44.7858202,16890,Жирновск
1.0,UTC+3,55.0301833,36.7394903,12150,Жуков
1.0,UTC+3,53.5340397,33.7302579,18269,Жуковка
0.0,UTC+3,55.599803,38.1224298,102729,Жуковский
1.0,UTC+9,50.1064111,129.4391813,11481,Завитинск
1.0,UTC+5,56.5027463,66.5513613,25657,Заводоуковск
1.0,UTC+3,57.4918141,42.1375625,12045,Заволжск
0.0,UTC+3,56.6404286,43.3872492,40265,Заволжье
1.0,UTC+3,52.4004179,38.9205032,9695,Задонск
1.0,UTC+3,55.299053,52.0062972,41798,Заинск
1.0,UTC+8,50.372713,103.286699,11249,Закаменск
0.0,UTC+7,55.9617752,94.7091491,10683,Заозерный
0.0,UTC+3,69.4003584,32.4501496,11206,Заозерск
1.0,UTC+3,56.2566492,32.0805315,9376,Западная Двина
0.0,UTC+3,69.4132852,30.7984312,15835,Заполярный
1.0,UTC+3,54.762456,38.8850978,24648,Зарайск
